College_Name,Description,Logo
Indian Institute of Technology,"The Indian Institutes of Technology (IIT) are a network of engineering and technology institutions in India. Established in 1950, they are under the purview of the Ministry of Education of the Indian Government and are governed by the Institutes of Technology Act, 1961.",https://www.pngkit.com/png/detail/358-3581667_indian-institute-of-technology-delhi-indian-institute-of.png
Panjab University,"Panjab University (PU) is an Indian collegiate public state university located in Chandigarh. Funded through both State and Union governments, it is considered a state university.",https://seeklogo.com/images/P/panjab-university-logo-97FD0EFE4E-seeklogo.com.png
"Amity University, Noida","Amity University, Noida (officially Amity University Uttar Pradesh) is a private research university located in Noida, Uttar Pradesh, India. It was established in 2005 by an Act of the State Legislature of Uttar Pradesh.",https://uploads.sarvgyan.com/2014/03/Amity-University-Noida.jpg
DAV College,"The D.A.V. College Managing Committee, commonly known as DAVCMC, is a non-governmental educational organisation in India and overseas with over 900 schools, 75 colleges and a university. It is based on the ideals of Dayananda Saraswati and Arya Samaj.",https://www.davjalandhar.com/admissions/2020-21/images/logo.png
Birla Institute of Technology and Science,"The Birla Institute of Technology and Science, Pilani (BITS Pilani) is a private deemed university in Pilani, Rajasthan, India. It focuses primarily on higher education and research in engineering and sciences.",https://cdn.imgbin.com/1/15/0/imgbin-birla-institute-of-technology-and-science-pilani-dubai-campus-birla-institute-of-technology-science-pilani-hyderabad-birla-institute-of-technology-science-pilani-goa-student-ERaY7sFJU4FmKhWPFa3AqnuzQ.jpg
Centurion University of Technology and Management,"Diploma Student Found Hanging Centurion University of Technology and Management (CUTM) is a private university in Odisha, India. With its main campus earlier at Parlakhemundi in Gajapati and another constituent campus located at Jatni, on the fringes of Bhubaneswar, which is now the main campus, was accorded the status of a university in 2010.",https://www.ranklogos.com/wp-content/uploads/2014/10/Centurion-University-of-Technology-and-Management.png
Maharshi Dayanand University,"Maharshi Dayanand University (also called M.D. University or simply MDU; formerly University of Rohtak) is an Indian public university in Rohtak, Haryana. Established in 1976, the university is named after the noted Indian social reformer Dayananda Saraswati.",https://seeklogo.com/images/M/maharshi-dayanand-saraswati-university-logo-BA7EC1EFFA-seeklogo.com.png
Chandigarh University,"Chandigarh University (CU) is a private university located in Gharuan village of Mohali, India. The university was established on 10 July 2012 by an act of Punjab State Legislature.",https://cdn.freelogovectors.net/wp-content/uploads/2022/03/chandigarh-university-logo-cu_freelogovectors.net_.png
Sardar Patel University,"Sardar Patel University (SPU) is a public state university in Vallabh Vidyanagar, a Anand City Gujarat, India. It is named after politician Vallabhbhai Patel and was founded in October 1955 by an Act of the Legislative Assembly of the then-Bombay Province and was UGC recognized under 2(f) of the UGC Act in October 1968.",https://www.eduopinions.com/wp-content/uploads/2020/07/Sardar-Patel-University-logo.jpg
Manav Rachna International Institute Of Research And,"Manav Rachna International Institute of Research and Studies (MRIIRS), formerly Manav Rachna International University (MRIU), is a private university located in Faridabad, Mohali as well as other places in India. == Accreditation == Manav Rachna International Institute of Research and Studies (MRIIRS) is a National Assessment and Accreditation Council (NAAC) accredited A++ grade university.",https://factstranscript.com/wp-content/uploads/2022/02/Manav-Rachna-International-Institute-of-Research-and-Studies.png
Maharishi Markandeshwar,"Maharishi Markandeshwar (Deemed to be University), Mullana, is a private deemed university at Mullana near Ambala in the state of Haryana, India. It was founded in 1993 in the name of Maharishi Markandeshwar.",https://indianeduhub.in/wp-content/uploads/MAHARISHI_LOGO-1024x554.png
